Richmond;338;335;295;346;301;381;357;376;376;379;348
Rockdale;69;91;84;94;100;99;99;121;123;103;112
Schley;4;5;9;8;3;3;5;8;6;3;6
Screven;20;13;14;22;28;27;21;16;31;22;27
Seminole;10;14;13;12;13;13;10;11;11;7;15
Spalding;112;110;104;130;115;149;156;156;115;128;135
Stephens;31;21;27;35;27;30;29;34;40;38;23
Stewart;3;6;7;11;14;7;9;6;4;11;5
Sumter;61;66;55;56;74;54;57;60;69;55;64
Talbot;16;11;13;8;8;9;12;10;11;12;10
Taliaferro;3;1;4;2;0;0;4;2;3;4;4
Tattnall;23;28;23;42;25;39;39;35;27;32;30
Taylor;10;12;7;18;10;12;13;12;13;13;12
Telfair;24;21;26;23;18;19;27;13;20;16;14
Terrell;27;18;21;19;24;29;29;33;22;32;18
Thomas;56;62;65;76;76;64;79;86;61;54;63
Tift;75;61;78;54;78;89;90;79;66;72;62
Toombs;47;35;46;45;50;51;51;43;39;52;39
Towns;2;2;4;5;4;6;11;7;3;4;10
Treutlen;8;7;9;6;6;11;10;16;5;7;10
Troup;98;98;101;78;90;120;91;114;108;90;93
Turner;19;16;18;12;22;15;24;23;20;24;14
Twiggs;17;22;14;20;15;23;29;11;19;9;13
Union;15;11;19;9;8;12;19;20;15;15;15
Upson;33;32;36;23;35;48;42;44;29;38;43
Walker;69;82;85;88;82;59;99;97;95;123;107
Walton;82;81;70;63;96;87;85;90;95;99;100
Ware;41;35;40;28;36;50;67;62;53;55;55
Warren;12;16;12;14;9;11;12;9;15;9;2
Washington;33;17;35;34;39;39;31;26;39;31;35
Wayne;27;29;44;26;39;45;44;43;55;28;43
Webster;2;2;0;2;5;6;3;0;3;2;1
Wheeler;2;3;3;6;7;9;5;10;9;7;9
White;13;22;21;22;21;21;22;27;11;7;18
Whitfield;97;125;132;115;120;100;148;148;133;100;107
Wilcox;10;13;8;10;16;8;12;10;9;11;12
Wilkes;12;14;12;11;12;19;7;13;15;16;3
Wilkinson;17;22;11;21;17;17;19;19;12;24;16
Worth;38;35;17;30;31;33;33;31;38;47;37
