,Country,ReportingYear,UpdateTime,StationLocalId,SamplingPointLocalId,SamplingPoint_Latitude,SamplingPoint_Longitude,Namespace,Unit,BeginPosition,EndPosition,Validity,Verification,DataCoverage,DataCapture,TimeCoverage,AQValue
515,Spain,2017,2017-01-02T01:33:08.27Z,STA_ES1938A,SP_28079048_9_47,40.43972222,-3.69027777,ES.BDCA.AQD,ug.m-3,01/01/2017,01/01/2018,Valid,Verified,99.05251142,100,99.05251142,8.78091506
516,Spain,2017,2017-01-02T01:33:08.27Z,STA_ES1525A,SP_28079038_9_47,40.44527777,-3.70638888,ES.BDCA.AQD,ug.m-3,01/01/2017,01/01/2018,Valid,Verified,99.62328767,100,99.62328767,9.57373667
517,Spain,2017,2018-09-01T10:31:54.34Z,STA_ES2038A,SP_38038027_9_49,28.459314,-16.270206,ES.BDCA.AQD,ug.m-3,01/01/2017,01/01/2018,Valid,Verified,98.39041096,100,98.39041096,14.48091425
518,Spain,2017,2018-09-01T10:31:54.34Z,STA_ES1779A,SP_26019001_9_49,42.44,-2.239,ES.BDCA.AQD,ug.m-3,01/01/2017,01/01/2018,Valid,Verified,99.20091324,100,99.20091324,8.00406214
519,Spain,2017,2018-09-01T10:31:54.34Z,STA_ES2022A,SP_38011007_9_49,28.38016,-16.36833,ES.BDCA.AQD,ug.m-3,01/01/2017,01/01/2018,Valid,Verified,94.6803653,100,94.6803653,10.53375934
520,Spain,2017,2017-01-02T01:33:08.27Z,STA_ES1877A,SP_12009007_9_46,39.94527777,-0.05638888,ES.BDCA.AQD,ug.m-3,01/01/2017,01/01/2018,Valid,Verified,93.19634703,100,93.19634703,7.3933121
521,Spain,2017,2017-01-12T02:27:59.127Z,STA_ES1952A,SP_35006001_9_49,28.111266,-15.520924,ES.BDCA.AQD,ug.m-3,01/01/2017,01/01/2018,Valid,Verified,95.30821918,100,95.30821918,11.39992813
586,Spain,2015,2016-01-20T02:25:38.267Z,STA_ES2037A,SP_12138002_9_46,40.38333,0.70917,ES.BDCA.AQD,ug.m-3,01/01/2015,01/01/2016,Valid,Verified,96.27853881,100,96.27853881,10.85392459
587,Spain,2015,2016-07-29T03:40:06.373Z,STA_ES1798A,SP_15030021_9_47,43.3542,-8.4247,ES.BDCA.AQD,ug.m-3,01/01/2015,01/01/2016,Valid,Verified,99.20091324,100,99.20091324,12.19052934
588,Spain,2015,2016-07-29T03:40:06.373Z,STA_ES1868A,SP_15078007_9_49,42.8758,-8.5592,ES.BDCA.AQD,ug.m-3,01/01/2015,01/01/2016,Valid,Verified,95.49086758,100,95.49086758,7.30161386
589,Spain,2015,2016-12-16T08:05:15.97Z,STA_ES1809A,SP_28161001_9_49,40.185241,-3.680265,ES.BDCA.AQD,ug.m-3,01/01/2015,01/01/2016,Valid,Verified,97.96803653,100,97.96803653,12.14087625
590,Spain,2015,2016-12-16T08:05:15.97Z,STA_ES1911A,SP_46010001_9_46,39.70527777,-0.33666666,ES.BDCA.AQD,ug.m-3,01/01/2015,01/01/2016,Valid,Verified,98.81278539,100,98.81278539,7.10247227
591,Spain,2015,2017-08-07T07:45:40.333Z,STA_ES2039A,SP_15055003_9_49,43.5198,-8.1502,ES.BDCA.AQD,ug.m-3,01/01/2015,01/01/2016,Valid,Verified,92.56849315,100,92.56849315,11.99307436
592,Spain,2015,2016-11-11T01:51:29.787Z,STA_ES0567A,SP_08019045_9_M,41.38490638,2.119573944,ES.BDCA.AQD,ug.m-3,01/01/2015,01/01/2016,Valid,Verified,98.63013699,100,98.63013699,15.06083333
593,Spain,2015,2016-12-16T08:05:15.97Z,STA_ES1272A,SP_33024025_9_49,43.5299,-5.6735,ES.BDCA.AQD,ug.m-3,01/01/2015,01/01/2016,Valid,Verified,96.86073059,100,96.86073059,12.66163818
594,Spain,2015,2016-07-29T03:40:06.373Z,STA_ES1866A,SP_35017002_9_47,28.50276174,-13.85369942,ES.BDCA.AQD,ug.m-3,01/01/2015,01/01/2016,Valid,Verified,98.04794521,100,98.04794521,6.98474793
